,Estimateurs,Temps,RMSE,MAE,R2,Score sur train
0,100,200.1,59.183,23.664,0.846,0.978
1,200,359.1,58.975,23.582,0.847,0.978
2,300,532.5,58.973,23.584,0.847,0.978
3,400,706.4,58.927,23.571,0.847,0.979
4,500,899.5,58.924,23.557,0.847,0.979
5,600,1066.5,58.913,23.548,0.847,0.979
6,700,1242.7,58.897,23.539,0.847,0.979
7,800,1423.9,58.893,23.534,0.847,0.979
8,900,1602.1,58.88,23.525,0.847,0.979
9,1000,1849.7,58.884,23.518,0.847,0.979
1,1200,2079.3,58.874,23.512,0.847,0.979
2,1500,2565.8,58.866,23.508,0.847,0.979
3,2000,3580.0,58.86,23.505,0.847,0.979
